0 0
1 0
1 1
2 1
2 2
3 1
3 2
3 3
4 1
4 2
4 4
5 0
5 1
5 5
6 0
6 1
6 2
6 3
6 4
6 5
6 6
7 1
7 2
7 3
7 4
7 6
7 7
8 1
8 2
8 3
8 6
8 7
8 8
9 1
9 2
9 4
9 6
9 7
9 9
10 5
10 6
10 10
11 5
11 6
11 7
11 8
11 9
11 10
11 11
12 6
12 7
12 8
12 9
12 11
12 12
13 6
13 7
13 8
13 11
13 12
13 13
14 6
14 7
14 9
14 11
14 12
14 14
15 5
15 6
15 10
15 11
15 15
16 5
16 6
16 7
16 8
16 9
16 10
16 11
16 12
16 13
16 14
16 15
16 16
17 6
17 7
17 8
17 9
17 11
17 12
17 13
17 14
17 16
17 17
18 6
18 7
18 8
18 11
18 12
18 13
18 16
18 17
18 18
19 6
19 7
19 9
19 11
19 12
19 14
19 16
19 17
19 19
20 5
20 6
20 10
20 11
20 20
21 5
21 6
21 7
21 8
21 9
21 10
21 11
21 12
21 13
21 14
21 20
21 21
22 6
22 7
22 8
22 9
22 11
22 12
22 13
22 14
22 21
22 22
23 6
23 7
23 8
23 11
23 12
23 13
23 21
23 22
23 23
24 6
24 7
24 9
24 11
24 12
24 14
24 21
24 22
24 24
