Vertices
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
Edges
0, 0, 1.0
1, 1, 1.0
2, 1, 1.0
2, 2, 1.0
3, 2, 1.0
3, 3, 1.0
4, 4, 1.0
5, 5, 1.0
6, 6, 1.0
7, 6, 1.0
7, 7, 1.0
8, 7, 1.0
8, 8, 1.0
9, 9, 1.0
10, 5, 1.0
10, 10, 1.0
11, 6, 1.0
11, 7, 1.0
11, 11, 1.0
12, 6, 1.0
12, 7, 1.0
12, 8, 1.0
12, 11, 1.0
12, 12, 1.0
13, 7, 1.0
13, 8, 1.0
13, 12, 1.0
13, 13, 1.0
14, 9, 1.0
14, 14, 1.0
15, 10, 1.0
15, 15, 1.0
16, 11, 1.0
16, 12, 1.0
16, 16, 1.0
17, 11, 1.0
17, 12, 1.0
17, 13, 1.0
17, 16, 1.0
17, 17, 1.0
18, 12, 1.0
18, 13, 1.0
18, 17, 1.0
18, 18, 1.0
19, 14, 1.0
19, 19, 1.0
20, 20, 1.0
21, 21, 1.0
22, 21, 1.0
22, 22, 1.0
23, 22, 1.0
23, 23, 1.0
24, 24, 1.0
